method,success_rate,collision_rate,occupancy_error,formation_error,episode,reward,actor_loss,critic_loss,stage_index,recovery_score,target_reward,avoidance_reward,collaboration_reward,recovery_reward,smoothness_penalty,consistency_penalty,success_bonus
without_curriculum,0.0,0.0,1.79504709482193,0.5655448616743088,2.0,39.11206338408153,-1.2411949396133424,0.013786518815904855,1.0,0.7999999999999998,-0.011622562050819399,0.9516601132249839,1.1192868675768373,2.2647799519300444,0.01877076186736133,0.0,0.0
without_curriculum,0.0,0.0,2.0730524277687072,0.7360898070335388,3.0,38.472826692042986,-1.6401113080978393,0.030332714784890413,1.0,0.7999999999999998,-0.011071569800376893,0.9448442564964301,0.9743236640214922,2.1983493540287005,0.015907878408272555,0.0,0.0
without_pyramid_per,0.0,0.0,0.6092714667320251,0.14433078974485397,0.0,35.151119125928055,-0.5656035259366036,0.09037090693355392,0.0,0.8781457066535951,0.24118264365196226,0.9614604098796843,1.4790226402431728,4.4336774181127545,0.019294763147217262,0.028170750815129212,0.0
without_pyramid_per,0.0,0.0,1.3905647444725036,0.10811324203014376,1.0,26.80208958483921,-0.7012403938505385,0.017249730121540397,0.0,0.7999999999999998,0.00736334276199341,0.961577859163284,1.5099445799648756,4.4338927417993546,0.016586801347169895,0.0,0.0
without_pyramid_per,0.0,0.0,0.6477444398403168,0.14639559698104856,2.0,34.276666567668315,-1.0440916728973388,0.008376680691726505,0.0,0.8704511120319367,0.2162319692969322,0.9610556287765504,1.476795309472084,4.4329353194236765,0.017847838195311036,0.016952445391025358,0.0
without_pyramid_per,0.0,0.0,1.3124728465080262,0.06308129990100861,3.0,26.844995191399818,-1.3700096368789674,0.019260679497383536,0.0,0.7999999999999998,0.00867949080467224,0.9618606362342835,1.5485516373574735,4.43441116642952,0.01746403929153523,0.0020386594896862607,0.0
uniform_replay,0.0,0.0,1.201949508190155,0.14795127868652344,0.0,26.69345992059989,-0.539289590716362,0.07132861650499858,0.0,0.7999999999999998,0.0058207366466522205,0.9612836029529573,1.4757389498949052,4.433353272080423,0.01979445097597393,0.01851421362911207,0.0
uniform_replay,0.0,0.0,0.5390312469005585,0.21177899742126466,1.0,36.56462069302214,-0.7317885292900933,0.034296706367872264,0.0,0.8921937506198883,0.2797070055305958,0.9607522185444834,1.4208654404938221,4.4323790673315555,0.018425096699379064,0.012702761635556939,0.0
uniform_replay,0.0,0.0,0.6483388662338256,0.2892874517440796,2.0,34.147711990295555,-1.0424350094795227,0.014510115906596184,0.0,0.8703322267532348,0.2122139728069305,0.9603844317197803,1.3545541696906092,4.4317047914862675,0.017849818376687906,0.005410253082390384,0.0
uniform_replay,0.0,0.0,0.9738105797767639,0.3642966700792314,3.0,27.08967547347809,-1.3574699687957763,0.02353118557482958,0.0,0.8052378840446474,0.01601183360815048,0.9601791003942494,1.2905567808926106,4.431328350722791,0.01868016018801468,0.0,0.0
