time,axis,backend,x,y,z,vx,vy,vz,roll,pitch,yaw,target_x,target_y,target_z,target_vx,target_vy,target_vz,rpm0,rpm1,rpm2,rpm3,reward,disturbance_x,disturbance_y,disturbance_z,x_b0,x_omega_c,x_k,x_r,y_b0,y_omega_c,y_k,y_r,z_b0,z_omega_c,z_k,z_r,applied_r,applied_b0,applied_omega_c,applied_k
4.333333333333333,x,gym_env,1.8620688915252686,-0.7884393930435181,0.009472745470702648,-0.03803567960858345,-0.042361706495285034,0.0027926915790885687,-3.101644515991211,0.0702112466096878,-0.4848916232585907,0.19999997317790985,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.7856013536453248,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.354166666666666,x,gym_env,1.8614929914474487,-0.7878550887107849,0.00947621837258339,0.02054140903055668,0.051627933979034424,0.005405204836279154,3.135389566421509,-0.07781019061803818,-0.5219802856445312,0.1874999701976776,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.796614158153534,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.375,x,gym_env,1.8622699975967407,-0.7881413102149963,0.009406687691807747,0.009220784530043602,-0.05431788042187691,-0.009549683891236782,3.113898515701294,0.07712361961603165,-0.5600793361663818,0.17499996721744537,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8005966901779176,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.395833333333333,x,gym_env,1.8614039421081543,-0.7881566286087036,0.00939064472913742,-0.029036542400717735,0.049556665122509,-0.0015864436281844974,-3.081541061401367,-0.05838414281606674,-0.5980620384216309,0.16249996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8286386013031006,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.416666666666666,x,gym_env,1.8621898889541626,-0.7877885699272156,0.009440453723073006,0.04474363103508949,-0.035938505083322525,0.005517683923244476,3.063776969909668,0.024973900988698006,-0.6345431804656982,0.1499999612569809,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.821262812614441,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.4375,x,gym_env,1.8616405725479126,-0.7883927226066589,0.0095145208761096,-0.051888927817344666,0.01786513812839985,0.008726336061954498,-3.0647292137145996,0.009998291730880737,-0.6694392561912537,0.13749995827674866,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8550567388534547,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.458333333333333,x,gym_env,1.861886739730835,-0.7876086235046387,0.009484593756496906,0.05334961786866188,0.011868695728480816,-0.008924968540668488,3.0728394985198975,-0.041527848690748215,-0.7049165368080139,0.12499996274709702,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8473676562309265,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.479166666666666,x,gym_env,1.8619422912597656,-0.7884572744369507,0.009428036399185658,-0.04787319898605347,-0.03097263164818287,-0.004936060402542353,-3.0957958698272705,0.06876183301210403,-0.7412747144699097,0.11249996721744537,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8758434295654296,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.5,x,gym_env,1.861541509628296,-0.7876867055892944,0.009388326667249203,0.034009307622909546,0.04674380645155907,0.0013127696001902223,3.1308634281158447,-0.08172940462827682,-0.779356062412262,0.09999996423721313,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8790913462638854,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
4.520833333333333,x,gym_env,1.862181305885315,-0.788214921951294,0.00941618625074625,-0.01544968318194151,-0.05336751416325569,0.008415281772613525,3.11639404296875,0.07547349482774734,-0.8174760341644287,0.0874999612569809,0.0,1.0,-0.6000000238418579,0.0,0.0,9440.2998046875,9440.2998046875,9440.2998046875,9440.2998046875,-1.8908726215362548,0.0,0.0,0.0,30.0,2.25,7.0,65.0,30.5,1.5,11.0,10.0,300.0,15.0,7.333333333333333,30.0,65.0,30.0,2.25,7.0
